DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2019,2030091,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2020,1981074,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2021,1991473,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2022,1888567,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,European Union - 27 countries (from 2020),2023,1788298,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2013,28276,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2014,27960,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2015,27003,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2016,26002,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2017,24647,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2018,22947,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2019,22427,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2020,22685,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2021,24307,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2022,21991,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Finland,2023,21110,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2013,396581,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2014,400607,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2015,390526,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2016,382937,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2017,375987,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2018,370255,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2019,368668,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2020,359588,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2021,363068,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2022,354962,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,France,2023,331344,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2013,27851,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2016,27682,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2017,25635,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2018,24600,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2019,23267,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2020,22231,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2022,20422,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Georgia,2023,19204,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2013,19208,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2014,19192,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2015,18124,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2016,18465,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2017,17711,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2018,17867,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2019,17657,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2020,17456,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2021,17540,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2022,16628,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Croatia,2023,15815,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2013,43529,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2014,45445,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2015,44785,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2016,46402,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2017,46055,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2018,45459,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2019,45116,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2020,45534,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2021,45520,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2022,43592,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Hungary,2023,42590,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2013,33614,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2014,32614,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2015,32056,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2016,31132,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2017,30045,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2018,29716,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2019,29019,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2020,27057,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2021,29584,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2022,26576,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Ireland,2023,26611,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Iceland,2013,2197,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Iceland,2014,2142,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Iceland,2015,2010,,
